NOMENUM;ARIMA RMSE;LSTM RMSE;Prophet RMSE;ARIMA R2;LSTM R2;Prophet R2
Dois Irmãos do Buriti;262.59563489421095;2757.5632625214926;60.02822244236844;-23.520042182032796;0.8856022419140333;-1339.8691537095813
Nortelândia;203.2957229601072;9184.64721735772;128.1361796137039;-2.636933192397641;-0.2690873164097045;-1343.16409254349
Guapó;1646.9192851317366;1773.789096828293;198.51630889779744;-48.81991561551314;0.9526662942823039;-1319.2944924415042
Israelândia;564.5687898198136;21965.286326053545;104.82787746911065;-27.971552282044545;-6.258389706275248;-1351.7044968078465
Abdon Batista;1.592323848145561;477.58014715145947;50.12515814773655;-0.39727430893585614;0.9965686969655826;-1350.4130329956974
Santa Rosa do Tocantins;285.83166450756823;6104.564429820674;187.07011727354933;-24.003313419903225;0.43937054965242495;-1351.8041963226885
Arroio do Padre;73.85986984763551;3540.070488960596;74.54375972357617;-2.4548143115108516;0.811465703990004;-1351.621528227213
Novo Lino;7.745680114086635;10686.295824600482;62.99125518558693;-3.213314371503266;-0.7179911770460718;-1351.5278858579827
Alto Taquari;6.791370677378473;15075.714519344405;226.70864152611747;-2.9047440038667824;-2.4191830666406027;-1342.338545355572
Ipiranga do Piauí;21.323000069224193;8081.64214769986;78.23514299765398;-1.2450644958226826;0.01742484953665302;-1347.020447360255
Arantina;173.82676261737046;5947.200570045802;132.9524774692355;-4.216674569977591;0.4679018915634573;-1350.7680332309121
Chácara;0.43867560483031354;4245.566995557415;5.705722399822026;0.0;0.7288323101428774;-1353.027880398458
Mimoso do Sul;582.670617333161;15620.104645413672;554.4375900911564;-1.6243543641607991;-2.670577705299549;-1298.7543757157555
Santana do Ipanema;320.58413141988825;2292.7150423399426;147.83683024001533;-2.2117534360981583;0.9209199919211173;-1299.0864253972284
Araçoiaba da Serra;21.765358010571262;18222.763454335276;244.22145135687458;-4.651845210191299;-3.9956846936191592;-1324.3769200565187
Pongaí;0.9790497676239749;3251.0861068233967;52.116403656616576;-50.539768105069626;0.8409903474360322;-1351.4247130785293
